Name,Wattage(W),VRAM(GB),3DMARK
GeForce GTX 1050,75,2,1861
GeForce GTX 1050 Ti,75,4,2356
GeForce GTX 1060,120,6,4215
GeForce GTX 1650,75,4,3552
GeForce GTX 1660 SUPER,125,6,6078
GeForce GTX 1660 Ti,120,6,6373
GeForce RTX 2060,160,6,7601
GeForce RTX 2080 Ti,250,11,14628
GeForce RTX 3050,130,8,6205
GeForce RTX 3060,170,12,8739
GeForce RTX 3060 Ti,200,8,11744
GeForce RTX 3070,220,8,13663
GeForce RTX 3070 Ti,290,8,14831
GeForce RTX 3080,320,10,17656
GeForce RTX 3080 Ti,350,12,19592
GeForce RTX 3090,350,24,19901
GeForce RTX 4060,115,8,10630
GeForce RTX 4060 Ti,160,8,13462
GeForce RTX 4070,200,12,17846
GeForce RTX 4070 SUPER,220,12,21214
GeForce RTX 4070 Ti,285,12,22706
GeForce RTX 4070 Ti SUPER,285,16,24426
GeForce RTX 4080 SUPER,320,16,28531
GeForce RTX 4090,450,24,35966
Radeon R7 360,100,2,1368
Radeon R9 370,150,4,1456
Radeon R9 380,190,4,2754
Radeon RX 460,75,4,1760
Radeon RX 550,50,4,1195
Radeon RX 560,80,4,1860
Radeon RX 580,185,8,4346
Radeon RX 6400,53,4,3622
Radeon RX 6500 XT,107,4,4973
Radeon RX 6600,132,8,8158
Radeon RX 6600 XT,160,8,9707
Radeon RX 6650 XT,176,8,10027
Radeon RX 6700 XT,230,12,12808
Radeon RX 6750 XT,250,12,13595
Radeon RX 6800,250,16,15972
Radeon RX 6800 XT,300,16,19187
Radeon RX 6900 XT,300,16,20621
Radeon RX 7600,165,8,10817
Radeon RX 7600 XT,190,16,11379
Radeon RX 7700 XT,245,12,17245
Radeon RX 7800 XT,263,16,19839
Radeon RX 7900 GRE,260,16,21644
Radeon RX 7900 XT,315,20,25617
Radeon RX 7900 XTX,355,24,29246
