Date,Name,Retail Price,Used Price
2023-03-01,GeForce GTX 1050,192.0,61.0
2023-04-01,GeForce GTX 1050,181.0,55.0
2023-05-01,GeForce GTX 1050,162.0,62.0
2023-06-01,GeForce GTX 1050,176.0,54.0
2023-07-01,GeForce GTX 1050,190.0,52.0
2023-08-01,GeForce GTX 1050,179.0,51.0
2023-09-01,GeForce GTX 1050,174.0,52.0
2023-10-01,GeForce GTX 1050,254.0,52.0
2023-11-01,GeForce GTX 1050,254.0,52.0
2023-12-01,GeForce GTX 1050,254.0,52.0
2024-01-01,GeForce GTX 1050,254.0,52.0
2024-02-01,GeForce GTX 1050,254.0,52.0
2024-03-01,GeForce GTX 1050,254.0,52.0
2024-04-01,GeForce GTX 1050,254.0,52.0
2024-05-01,GeForce GTX 1050,254.0,52.0
2024-06-01,GeForce GTX 1050,254.0,52.0
2024-07-01,GeForce GTX 1050,254.0,52.0
2024-08-01,GeForce GTX 1050,254.0,52.0
2024-09-01,GeForce GTX 1050,254.0,52.0
2024-10-01,GeForce GTX 1050,254.0,52.0
2024-11-01,GeForce GTX 1050,254.0,52.0
2024-12-01,GeForce GTX 1050,254.0,52.0
2023-03-01,GeForce GTX 1050 Ti,198.0,80.0
2023-04-01,GeForce GTX 1050 Ti,195.0,75.0
2023-05-01,GeForce GTX 1050 Ti,201.0,78.0
2023-06-01,GeForce GTX 1050 Ti,199.0,67.0
2023-07-01,GeForce GTX 1050 Ti,195.0,62.0
2023-08-01,GeForce GTX 1050 Ti,172.0,61.0
2023-09-01,GeForce GTX 1050 Ti,186.0,57.0
2023-10-01,GeForce GTX 1050 Ti,183.0,62.0
2023-11-01,GeForce GTX 1050 Ti,184.4,62.6
2023-12-01,GeForce GTX 1050 Ti,185.8,63.2
2024-01-01,GeForce GTX 1050 Ti,187.2,63.8
2024-02-01,GeForce GTX 1050 Ti,188.6,64.4
2024-03-01,GeForce GTX 1050 Ti,190.0,65.0
2024-04-01,GeForce GTX 1050 Ti,190.0,65.0
2024-05-01,GeForce GTX 1050 Ti,190.0,65.0
2024-06-01,GeForce GTX 1050 Ti,190.0,65.0
2024-07-01,GeForce GTX 1050 Ti,190.0,65.0
2024-08-01,GeForce GTX 1050 Ti,190.0,65.0
2024-09-01,GeForce GTX 1050 Ti,190.0,65.0
2024-10-01,GeForce GTX 1050 Ti,190.0,65.0
2024-11-01,GeForce GTX 1050 Ti,190.0,65.0
2024-12-01,GeForce GTX 1050 Ti,190.0,65.0
2022-11-01,GeForce GTX 1060,259.0,197.0
2022-12-01,GeForce GTX 1060,259.0,107.0
2023-01-01,GeForce GTX 1060,277.0,91.0
2023-02-01,GeForce GTX 1060,254.0,83.0
2023-03-01,GeForce GTX 1060,239.0,79.0
2023-04-01,GeForce GTX 1060,384.0,72.0
2023-05-01,GeForce GTX 1060,282.0,74.0
2023-06-01,GeForce GTX 1060,195.0,66.0
2023-07-01,GeForce GTX 1060,323.0,66.0
2023-08-01,GeForce GTX 1060,359.0,62.0
2023-09-01,GeForce GTX 1060,284.0,52.0
2023-10-01,GeForce GTX 1060,184.0,61.0
2023-11-01,GeForce GTX 1060,199.5,65.0
2023-12-01,GeForce GTX 1060,215.0,68.0
2024-01-01,GeForce GTX 1060,230.5,73.0
2024-02-01,GeForce GTX 1060,246.0,75.0
2024-03-01,GeForce GTX 1060,261.5,71.0
2024-04-01,GeForce GTX 1060,277.0,70.0
2024-05-01,GeForce GTX 1060,292.5,68.0
2024-06-01,GeForce GTX 1060,308.0,66.0
2024-07-01,GeForce GTX 1060,323.5,64.0
2024-08-01,GeForce GTX 1060,339.0,63.0
2024-09-01,GeForce GTX 1060,339.0,54.0
2024-10-01,GeForce GTX 1060,339.0,50.0
2024-11-01,GeForce GTX 1060,339.0,59.0
2024-12-01,GeForce GTX 1060,339.0,60.0
2022-11-01,GeForce GTX 1650,139.0,198.0
2022-12-01,GeForce GTX 1650,132.0,105.0
2023-01-01,GeForce GTX 1650,134.0,87.0
2023-02-01,GeForce GTX 1650,144.0,77.0
2023-03-01,GeForce GTX 1650,144.0,66.0
2023-04-01,GeForce GTX 1650,140.0,79.0
2023-05-01,GeForce GTX 1650,146.0,96.0
2023-06-01,GeForce GTX 1650,140.0,85.0
2023-07-01,GeForce GTX 1650,141.0,81.0
2023-08-01,GeForce GTX 1650,148.0,76.0
2023-09-01,GeForce GTX 1650,162.0,76.0
2023-10-01,GeForce GTX 1650,137.0,77.0
2023-11-01,GeForce GTX 1650,143.0,81.0
2023-12-01,GeForce GTX 1650,165.0,88.0
2024-01-01,GeForce GTX 1650,164.0,89.0
2024-02-01,GeForce GTX 1650,159.0,93.0
2024-03-01,GeForce GTX 1650,155.0,88.0
2024-04-01,GeForce GTX 1650,149.0,87.0
2024-05-01,GeForce GTX 1650,149.0,84.0
2024-06-01,GeForce GTX 1650,146.0,74.0
2024-07-01,GeForce GTX 1650,147.0,79.0
2024-08-01,GeForce GTX 1650,149.0,72.0
2024-09-01,GeForce GTX 1650,146.0,66.0
2024-10-01,GeForce GTX 1650,135.0,65.0
2024-11-01,GeForce GTX 1650,149.0,50.0
2024-12-01,GeForce GTX 1650,170.0,63.0
2022-11-01,GeForce GTX 1660 SUPER,195.0,203.0
2022-12-01,GeForce GTX 1660 SUPER,290.0,135.0
2023-01-01,GeForce GTX 1660 SUPER,273.0,125.0
2023-02-01,GeForce GTX 1660 SUPER,263.0,116.0
2023-03-01,GeForce GTX 1660 SUPER,256.0,118.0
2023-04-01,GeForce GTX 1660 SUPER,215.0,111.0
2023-05-01,GeForce GTX 1660 SUPER,176.0,110.0
2023-06-01,GeForce GTX 1660 SUPER,164.0,96.0
2023-07-01,GeForce GTX 1660 SUPER,167.0,91.0
2023-08-01,GeForce GTX 1660 SUPER,165.0,99.0
2023-09-01,GeForce GTX 1660 SUPER,168.0,74.0
2023-10-01,GeForce GTX 1660 SUPER,196.0,91.0
2023-11-01,GeForce GTX 1660 SUPER,194.0,90.0
2023-12-01,GeForce GTX 1660 SUPER,221.0,107.0
2024-01-01,GeForce GTX 1660 SUPER,222.0,121.0
2024-02-01,GeForce GTX 1660 SUPER,229.0,114.0
2024-03-01,GeForce GTX 1660 SUPER,225.0,110.0
2024-04-01,GeForce GTX 1660 SUPER,220.0,100.0
2024-05-01,GeForce GTX 1660 SUPER,208.0,97.0
2024-06-01,GeForce GTX 1660 SUPER,224.0,95.0
2024-07-01,GeForce GTX 1660 SUPER,234.0,95.0
2024-08-01,GeForce GTX 1660 SUPER,252.0,93.0
2024-09-01,GeForce GTX 1660 SUPER,264.0,88.0
2024-10-01,GeForce GTX 1660 SUPER,255.0,86.0
2024-11-01,GeForce GTX 1660 SUPER,270.0,87.0
2024-12-01,GeForce GTX 1660 SUPER,237.0,90.0
2022-11-01,GeForce GTX 1660 Ti,259.0,207.0
2022-12-01,GeForce GTX 1660 Ti,431.0,148.0
2023-01-01,GeForce GTX 1660 Ti,323.0,142.0
2023-02-01,GeForce GTX 1660 Ti,261.0,126.0
2023-03-01,GeForce GTX 1660 Ti,240.0,131.0
2023-04-01,GeForce GTX 1660 Ti,274.0,128.0
2023-05-01,GeForce GTX 1660 Ti,184.0,133.0
2023-06-01,GeForce GTX 1660 Ti,210.0,115.0
2023-07-01,GeForce GTX 1660 Ti,244.0,106.0
2023-08-01,GeForce GTX 1660 Ti,216.0,101.0
2023-09-01,GeForce GTX 1660 Ti,176.0,100.0
2023-10-01,GeForce GTX 1660 Ti,299.0,100.0
2023-11-01,GeForce GTX 1660 Ti,348.0,102.0
2023-12-01,GeForce GTX 1660 Ti,528.0,109.0
